"",""
"Action","Action"
"Add Token","Add Token"
"An error occurred while updating the tokens.","An error occurred while updating the tokens."
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Could not find token to delete.","Could not find token to delete."
"Created at","Created at"
"Delete Token","Delete Token"
"Delete","Delete"
"Disabled","Disabled"
"Edit Token '%s'","Edit Token '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving token","Error saving token"
"Excel","Excel"
"Home","Home"
"Id","Id"
"No","No"
"None","None"
"Please select tokens to delete.","Please select tokens to delete."
"Please select tokens.","Please select tokens."
"Product ID","Product ID"
"Quote Item ID","Quote Item ID"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Token","Save Token"
"Status","Status"
"Store views","Store views"
"The tokens has been deleted.","The tokens has been deleted."
"There was a problem saving the token.","There was a problem saving the token."
"There was an error deleting token.","There was an error deleting token."
"There was an error deleting tokens.","There was an error deleting tokens."
"There was an error updating tokens.","There was an error updating tokens."
"This token no longer exists.","This token no longer exists."
"Token Expiration Date","Token Expiration Date"
"Token was saved","Token was saved"
"Token was successfully deleted.","Token was successfully deleted."
"Token was successfully saved","Token was successfully saved"
"Token","Token"
"Tokens","Tokens"
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Total of %d tokens were successfully deleted.","Total of %d tokens were successfully deleted."
"Total of %d tokens were successfully updated.","Total of %d tokens were successfully updated."
"Unable to find token to save.","Unable to find token to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"