trackType,el,page,type,label,eventType,bodyClass
pageViewOnLoad,null,/Category,null,null,null,catalog-category-view
pageViewOnLoad,null,/Product,null,null,null,catalog-product-view
pageViewOnLoad,NULL,/Search,NULL,NULL,NULL,catalogsearch-result-index
pageViewOnLoad,NULL,/Cart,,NULL,NULL,checkout-cart-index
event,".catalog-category-view .toolbar .pages a.next:first","Category Page","Page Right - Upper",<null>,mousedown,NULL
event,".catalog-category-view .toolbar .pages a.previous:first","Category Page","Page Left - Upper",<null>,mousedown,NULL
event,".catalog-category-view .toolbar .pages a.previous:last","Category Page","Page Left - Lower",NULL,mousedown,NULL
event,".catalog-category-view .toolbar .pages a.next:last","Category Page","Page Right - Lower",NULL,mousedown,NULL
event,".page .page-header .page-header-container .logo",Header,"Logo Home",NULL,mousedown,NULL
event,".page .page-header .page-header-container #header-search .search-button",Header,Search,NULL,mousedown,NULL
event,".page .page-header .page-header-container .account-cart-wrapper .skip-account",Header,"My Account",NULL,mousedown,NULL
event,".page .page-header .page-header-container .account-cart-wrapper .header-minicart .skip-cart",Header,"Mini Cart",NULL,mousedown,NULL
event,".page .page-header .page-header-container .account-cart-wrapper .header-minicart #header-cart .minicart-wrapper .minicart-actions .cart-link","Mini Cart",Cart,NULL,mousedown,NULL
event,".page .page-header .page-header-container .account-cart-wrapper .header-minicart #header-cart .minicart-wrapper .minicart-actions .checkout-types.minicart .checkout-button","Mini Cart",Checkout,NULL,mousedown,NULL
event,".checkout-cart-index .cart .title-buttons .checkout-types.top .btn-proceed-checkout",Cart,"Top Proceed to Checkout",NULL,mousedown,NULL
event,".checkout-cart-index .cart .cart-totals-wrapper .cart-totals .checkout-types.bottom .btn-proceed-checkout",Cart,"Lower Proceed to Checkout",NULL,mousedown,NULL
event,".checkout-cart-index .cart .cart-forms .discount .discount-form .field-wrapper .button-wrapper .button2",Cart,"Promo Code Submit",NULL,mousedown,NULL
event,".checkout-cart-index .cart .cart-forms .giftcard #giftcard-form .field-wrapper .button-wrapper .button2",Cart,"Gift Card Code Submit",NULL,mousedown,NULL
event,".checkout-cart-index .cart .cart-forms .shipping .shipping-form #shipping-zip-form .buttons-set .button2",Cart,"Tax & Shipping Estimator Submit",NULL,mousedown,NULL
event,".checkout-cart-index .cart .cart-forms .shipping .shipping-form .form-list",Cart,"Tax & Shipping Estimator",NULL,mousedown,NULL
event,".checkout-cart-index .cart .cart-table .cart-footer-actions .btn-continue",Cart,"Cart Continue Shopping",NULL,mousedown,NULL
event,".checkout-cart-index .cart .cart-table .cart-footer-actions .btn-update",Cart,"Update Cart",NULL,mousedown,NULL
pageView,".checkout-onepage-index .opc #opc-login #checkout-step-login .col-1 .form-list .control .radio-label:first","/Checkout as Guest",NULL,NULL,mousedown,NULL
